event_id,contact_key,domain,segment,channel,message_number,message_name,asset_id,campaign_id,event_date,renewal_due_date,days_to_due_at_send,sent,delivered,opened_or_read,clicked,renewed_after_message,renewal_date,revenue_mxn,message_cost_mxn,suppression_leakage_flag
EVT-0000001,AKKY-100000,cliente0.mx,B2B long-tail,Email,1,Renewal reminder M1,51001,AKKY-REN-2026-EM-M1,2026-02-26,2026-03-28,-30,1,1,0,0,0,,0.0,0.12,0
EVT-0000002,AKKY-100000,cliente0.mx,B2B long-tail,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-03-28,2026-03-28,0,1,1,0,0,0,,0.0,0.12,0
EVT-0000003,AKKY-100000,cliente0.mx,B2B long-tail,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-04-02,2026-03-28,5,1,1,1,0,0,,0.0,0.12,0
EVT-0000004,AKKY-100000,cliente0.mx,B2B long-tail,WhatsApp,1,Renewal reminder M1,42447,AKKY-REN-2026-WH-M1,2026-02-26,2026-03-28,-30,1,1,1,0,0,,0.0,0.92,0
EVT-0000005,AKKY-100000,cliente0.mx,B2B long-tail,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-03-28,2026-03-28,0,1,1,1,0,1,2026-03-28,809.44,0.92,0
EVT-0000006,AKKY-100000,cliente0.mx,B2B long-tail,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-04-02,2026-03-28,5,1,1,1,1,0,,0.0,0.92,0
EVT-0000007,AKKY-100001,cliente1.mx,Personal,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-01-21,2026-01-21,0,1,1,1,0,0,,0.0,0.12,0
EVT-0000008,AKKY-100001,cliente1.mx,Personal,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-01-26,2026-01-21,5,1,1,1,0,0,,0.0,0.12,0
EVT-0000009,AKKY-100001,cliente1.mx,Personal,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-01-21,2026-01-21,0,1,1,1,0,0,,0.0,0.92,0
EVT-0000010,AKKY-100001,cliente1.mx,Personal,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-01-26,2026-01-21,5,1,1,1,0,0,,0.0,0.92,0
EVT-0000011,AKKY-100002,cliente2.mx,Partner,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-01-15,2026-01-15,0,1,1,0,0,0,,0.0,0.12,0
EVT-0000012,AKKY-100002,cliente2.mx,Partner,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-01-20,2026-01-15,5,1,1,0,0,0,,0.0,0.12,0
EVT-0000013,AKKY-100002,cliente2.mx,Partner,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-01-15,2026-01-15,0,1,1,1,1,0,,0.0,0.92,0
EVT-0000014,AKKY-100002,cliente2.mx,Partner,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-01-20,2026-01-15,5,1,1,1,0,0,,0.0,0.92,0
EVT-0000015,AKKY-100003,cliente3.mx,Personal,Email,1,Renewal reminder M1,51001,AKKY-REN-2026-EM-M1,2026-01-03,2026-02-02,-30,1,1,0,0,0,,0.0,0.12,0
EVT-0000016,AKKY-100003,cliente3.mx,Personal,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-02-02,2026-02-02,0,1,1,0,0,0,,0.0,0.12,0
EVT-0000017,AKKY-100003,cliente3.mx,Personal,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-02-07,2026-02-02,5,1,1,0,0,0,,0.0,0.12,0
EVT-0000018,AKKY-100003,cliente3.mx,Personal,WhatsApp,1,Renewal reminder M1,42447,AKKY-REN-2026-WH-M1,2026-01-03,2026-02-02,-30,1,1,1,0,0,,0.0,0.92,0
EVT-0000019,AKKY-100003,cliente3.mx,Personal,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-02-02,2026-02-02,0,1,1,1,1,0,,0.0,0.92,0
EVT-0000020,AKKY-100003,cliente3.mx,Personal,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-02-07,2026-02-02,5,1,1,0,0,1,2026-02-12,1062.72,0.92,0
EVT-0000021,AKKY-100004,cliente4.mx,Enterprise,Email,1,Renewal reminder M1,51001,AKKY-REN-2026-EM-M1,2026-03-13,2026-04-12,-30,1,1,0,0,0,,0.0,0.12,0
EVT-0000022,AKKY-100004,cliente4.mx,Enterprise,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-04-12,2026-04-12,0,1,1,0,0,0,,0.0,0.12,0
